regno,SE
MNMA/BD.GD/1708/2008,31
MNMA/BD.GD/1870/2008,21
MNMA/BD.GD/1832/2008,30
MNMA/BD.GD/1860/2008,37
MNMA/BD.GD/1839/2008,43
MNMA/BD.GD/2142/2008,35
MNMA/BD.GD/1824/2008,37
MNMA/BD.GD/1995/2008,33
MNMA/BD.GD/1826/2008,33
MNMA/BD.GD/1854/2008,41
MNMA/BD.GD/1861/2008,24
MNMA/BD.GD/1725/2008,33
MNMA/BD.GD/1825/2008,31
MNMA/BD.GD/1999/2008,34
MNMA/BD.GD/1821/2008,34
MNMA/BD.GD/1871/2008,40
MNMA/BD.GD/1848/2008,25
MNMA/BD.GD/1841/2008,27
MNMA/BD.GD/1997/2008,39
MNMA/BD.GD/1829/2008,30
MNMA/BD.GD/1823/2008,37
MNMA/BD.GD/1859/2008,27
MNMA/BD.GD/1856/2008,38
MNMA/BD.GD/1830/2008,25
MNMA/BD.GD/2000/2008,42
MNMA/BD.GD/1864/2008,29
MNMA/BD.GD/1996/2008,24
MNMA/BD.GD/1844/2008,25
MNMA/BD.GD/1857/2008,28
MNMA/BD.GD/1828/2008,27
MNMA/BD.GD/2144/2008,37
MNMA/BD.GD/1993/2008,23
MNMA/BD.GD/2008/2008,28
MNMA/BD.GD/1862/2008,23
MNMA/BD.GD/1866/2008,43
MNMA/BD.GD/2001/08,23
MNMA/BD.GD/1868/2008,26
MNMA/BD.GD/1865/2008,35
MNMA/BD.GD/2162/2008,27
MNMA/BD.GD/1833/08,34
MNMA/BD.GD/1998/2008,39
MNMA/BD.GD/1872/2008,35
MNMA/BD.GD/1845/2008,27
MNMA/BD.GD/2002/2008,36
MNMA/BD.GD/1869/2008,34
MNMA/BD.GD/2150/2008,41
MNMA/BD.GD/2014/2008,26
MNMA/BD.GD/2169/2008,37
MNMA/BD.GD/2140/2008,43
MNMA/BD.GD/1834/2008,37
MNMA/BD.GD/2003/2008,34
MNMA/BD.GD/2016/2008,39
MNMA/BD.GD/1847/2008,22
MNMA/BD.GD/1838/2008,40
MNMA/BD.GD/1727/2008,37
MNMA/BD.GD/1836/2008,28
MNMA/BD.GD/1863/2008,33
MNMA/BD.GD/1831/2008,39
MNMA/BD.GD/1707/2008,28
MNMA/BD.GD/1867/2008,36
MNMA/BD.GD/1858/2008,38
MNMA/BD.GD/1994/2008,20
MNMA/BD.GD/1837/2008,24
MNMA/BD.GD/2007/2008,36
MNMA/BD.GD/1846/2008,34
MNMA/BD.GD/2164/2008,39
MNMA/BD.GD/1851/2008,37
MNMA/BD.GD/2010/2008,30
MNMA/BD.GD/2004/2008,30
MNMA/BD.GD/2005/2008,35
MNMA/BD.GD/1850/2008,40
MNMA/BD.GD/1992/2008,32
MNMA/BD.GD/1853/2008,30
MNMA/BD.GD/2136/2008,35
MNMA/BD.GD/1827/2008,24
MNMA/BD.GD/1842/2008,28
MNMA/BD.GD/1701/2008,42
MNMA/BD.GD/1840/2008,36
MNMA/BD.GD/2013/2008,37
MNMA/BD.GD/2163/2008,31
