RegNo,,,TOTAL 40/40
MNMA/BD.MSD/4754/13,,,
MNMA/BD.MSD/4780/13,,,30
MNMA/BD.MSD/4762/13,,,20
MNMA/BD.MSD/4763/13,,,23
MNMA/BD.MSD/4755/13,,,24
MNMA/BD.MSD/4768/13,,,27
MNMA/BD.MSD/4748/13,,,25
MNMA/BD.MSD/4746/13,,,27
MNMA/BD.MSD/4750/13,,,27
MNMA/BD.MSD/4760/13,,,28
MNMA/BD.MSD/4765/13,,,24
MNMA/BD.MSD/4782/13,,,30
MNMA/BD.MSD/4779/13,,,28
MNMA/BD.MSD/4770/13,,,29
MNMA/BD.MSD/4767/13,,,27
MNMA/BD.MSD/4771/13,,,29
MNMA/BD.MSD/4759/13,,,18
MNMA/BD.MSD/4742/13,,,31
MNM/BD.MSD/4742/13,,,20
MNMA/BD.MSD/4781/13,,,27
MNMA/BD.MSD/4751/13,,,26
MNMA/BD.MSD/4778/13,,,25
MNMA/BD.MSD/4752/13,,,32
MNMA/BD.MSD/4745/13,,,22
MNMA/BD.MSD/4772/13,,,18
MNMA/BD.MSD/0028/12,,,25
MNMA/BD.MSD/4749/13,,,26
MNMA/BD.MSD/4756/13,,,18
MNMA/BD.MSD/4777/13,,,27
MNMA/BD.MSD/4773/13,,,26
MNMA/BD.MSD/4774/13,,,21
MNMA/BD.MSD/4758/13,,,24
MNMA/BD.MSD/4753/13,,,
MNMA/BD.MSD/4776/13,,,31
MNMA/BD.MSD/4741/13,,,28
MNMA/BD.MSD/4744/13,,,25
MNMA/BD.MSD/4775/13,,,23
MNMA/BD.MSD/4743/13,,,26
