RegNo,Scores
MNMA/BD.EKE/0079/13,27
MNMA/BD.EKE/0099/13,26
MNMA/BD.EKE/0070/13,28
MNMA/BD.EKE/0027/13,29
MNMA/BD.EKE/0078/13,31
MNMA/BD.EKE/0116/13,26
MNMA/BD.EKE/0033/13,31
MNMA/BD.EKE/0084/13,29
MNMA/BD.EKE/0095/13,22
MNMA/BD.EKE/0127/13,25
MNMA/BD.EKE/0071/13,30
MNMA/BD.EKE/0137/13,28
MNMA/BD.EKE/0077/13,26
MNMA/BD.EKE/0144/13,27
MNMA/BD.EKE/0104/13,26
MNMA/BD.EKE/0112/13,28
MNMA/BD.EKE/0143/13,
MNMA/BD.EKE/0023/13,29
MNMA/BD.EKE/0075/13,27
MNMA/BD.EKE/0063/13,23
MNMA/BD.EKE/0085/13,26
MNMA/BD.EKE/0130/13,
MNMA/BD.EKE/0128/13,
MNMA/BD.EKE/0103/13,35
MNMA/BD.EKE/0136/13,28
MNMA/BD.EKE/0025/13,29
MNMA/BD.EKE/0133/13,20
MNMA/BD.EKE/0036/13,25
MNMA/BD.EKE/0080/13,24
MNMA/BD.EKE/0139/13,27
MNMA/BD.EKE/0106/13,27
MNMA/BD.EKE/0088/13,26
MNMA/BD.EKE/0073/13,33
MNMA/BD.EKE/0046/13,23
MNMA/BD.EKE/0019/13,
MNMA/BD.EKE/0032/13,28
MNMA/BD.EKE/0067/13,
MNMA/BD.EKE/0140/13,26
MNMA/BD.EKE/0076/13,
MNMA/BD.EGH/0154/13,
MNMA/BD.EKE/0058/13,26
MNMA/BD.EKE/0034/13,26
MNMA/BD.EKE/0035/13,28
MNMA/BD.EKE/0101/13,30
MNMA/BD.EKE/0053/13,28
MNMA/BD.EKE/0057/13,28
MNMA/BD.EKE/0126/13,24
MNMA/BD.EKE/0022/13,30
MNMA/BD.EKE/0119/13,30
MNMA/BD.EKE/0123/13,24
MNMA/BD.EKE/0091/13,24
MNMA/BD.EKE/0018/13,29
MNMA/BD.EKE/0083/13,26
MNMA/BD.EKE/0049/13,27
MNMA/BD.EKE/0047/13,29
MNMA/BD.EKE/0115/13,31
MNMA/BD.EKE/0056/13,
MNMA/BD.EKE/0031/13,31
MNMA/BD.EKE/0021/13,23
MNMA/BD.EKE/0039/13,29
MNMA/BD.EKE/0107/13,36
MNMA/BD.EKE/0065/13,36
MNMA/BD.EKE/0125/13,33
MNMA/BD.EKE/0094/13,31
MNMA/BD.EKE/0017/13,27
MNMA/BD.EKE/0054/13,30
MNMA/BD.EKE/0109/13,27
MNMA/BD.EKE/0064/13,22
MNMA/BT.CYW/0076/13,
MNMA/BD.EKE/0072/13,31
MNMA/BD.EKE/0045/13,27
MNMA/BD.EKE/0120/13,34
MNMA/BD.EKE/0113/13,34
MNMA/BD.EKE/0041/13,26
MNMA/BD.EKE/0040/13,27
MNMA/BD.EKE/0097/13,29
MNMA/BD.EKE/0102/13,21
MNMA/BD.EKE/0029/13,34
MNMA/BD.EKE/0089/13,30
MNMA/BD.EKE/0141/13,29
MNMA/BD.EKE/0060/13,26
MNMA/BD.EKE/0081/13,25
MNMA/BD.EKE/0082/13,26
MNMA/BD.EKE/0142/13,32
MNMA/BD.EKE/0069/13,
MNMA/BD.EKE/0030/13,23
MNMA/BD.EKE/0129/13,28
MNMA/BD.EKE/0138/13,28
MNMA/BD.EKE/0135/13,26
MNMA/BD.EKE/0067/13,25
MNMA/BD.EKE/0052/13,29
MNMA/BD.EKE/0108/13,34
MNMA/BD.EKE/0024/13,22
MNMA/BD.EKE/0110/13,24
MNMA/BD.EKE/0037/13,22
MNMA/BD.EKE/0061/13,27
MNMA/BD.EKE/0111/13,25
MNMA/BD.EKE/0124/13,30
MNMA/BD.EKE/0086/13,32
MNMA/BD.EKE/0131/13,28
MNMA/BD.EKE/0026/13,25
MNMA/BD.EKE/0048/13,25
MNMA/BD.EKE/0051/13,26
MNMA/BD.EKE/0092/13,29
MNMA/BD.EKE/0028/13,36
MNMA/BD.EKE/0118/13,34
MNMA/BD.EKE/0132/13,25
MNMA/BD.EKE/0020/13,25
MNMA/BD.EKE/0114/13,24
MNMA/BD.EKE/0038/13,26
MNMA/BD.EKE/0044/13,22
MNMA/BD.EKE/0055/13,26
MNMA/BD.EKE/0062/13,33
MNMA/BD.EKE/0134/13,20
MNMA/BD.EKE/0087/13,32
MNMA/BD.EKE/0059/13,27
MNMA/BD.EKE/0090/13,28
MNMA/BD.EKE/0121/13,23
MNMA/BD.EKE/0117/13,29
MNMA/BD.EKE/0042/13,23
MNMA/BD.EKE/0093/13,34
MNMA/BD.EKE/0096/13,34
MNMA/BD.EKE/0098/13,27
