RegNo,Scores
MNMA/ED/4275/13,30
MNMA/ED/4271/13,29
MNMA/ED/4269/13,25
MNMA/ED/4287/13,34
MNMA/ED/4289/13,22
MNMA/ED/4286/13,34
MNMA/ED/4288/13,
MNMA/ED/4278/13,35
MNMA/ED/4290/13,
MNMA/ED/4277/13,32
MNMA/ED/4273/13,34
MNMA/ED/4292/13,34
MNMA/ED/4135/11,
MNMA/ED/4250/12,32
MNMA/ED/4281/13,31
MNMA/ED/4291/13,24
MNMA/ED/4279/13,
MNMA/ED/4283/13,33
MNMA/ED/4176/11,
MNMA/ED/4272/13,33
MNMA/ED/4274/13,22
MNMA/ED/4159/11,
MNMA/ED/4282/13,38
MNMA/ED/4276/13,34
MNMA/ED/4202/11,
MNMA/ED/4280/13,31
MNMA/ED/4284/13,36
MNMA/ED/4285/13,29
MNMA/ED/4117/11,
MNMA/ED/4266/12,
MNMA/ED/4300/13,28
MNMA/ED/4298/13,35
MNMA/ED/4299/13,22
MNMA/ED/4294/13,25
MNMA/ED/4295/13,27
MNMA/ED/4301/13,37
MNMA/ED/4296/13,35
