RegNo,Scores
MNMA/GI/4227/11,
MNMA/GI/4589/13,27
MNMA/GI/4431/11,
MNMA/GI/4464/11,
MNMA/GI/4602/13,30
MNMA/GI/4581/13,34
MNMA/GI/4593/13,25
MNMA/GI/4580/13,30
MNMA/GI/4606/13,27
MNMA/GI/4560/12,
MNMA/GI/4599/13,25
MNMA/GI/4578/13,34
MNMA/GI/4546/12,
MNMA/GI/4595/13,25
MNMA/GI/4579/13,
MNMA/GI/4575/13,28
MNMA/GI/4571/13,39
MNMA/GI/4567/12,
MNMA/GI/4596/13,29
MNMA/GI/4573/13,35
MNMA/GI/4598/13,33
MNMA/GI/4552/12,
MNMA/GI/4591/13,24
MNMA/GI/4577/13,23
MNMA/GI/4588/13,27
MNMA/GI/4603/13,24
MNMA/GI/4605/13,23
MNMA/GI/4587/13,27
MNMA/GI/4601/13,23
MNMA/GI/4590/13,32
MNMA/GI/4574/13,28
MNMA/GI/4566/12,
MNMA/GI/4576/13,26
MNMA/GI/4604/13,30
MNMA/GI/4586/13,28
MNMA/GI/4592/13,26
MNMA/GI/4583/13,28
MNMA/GI/4597/13,28
MNMA/GI/4406/11,
MNMA/GI/4556/12,
MNMA/GI/4594/13,29
MNMA/GI/4585/13,31
MNMA/GI/4584/13,20
MNMA/GI/4544/12,
MNMA/GI/4572/13,30
MNMA/GI/4554/12,
MNMA/GI/4582/13,32
MNMA/GI/4600/13,24
MNMA/GI/4609/13,30
MNMA/G1/4409/13,29
MNMA/G1/4610/13,
MNMA/G1/4607/13,
MNMA/G1/4611/13,
