RegNo,Scores
MNMA/BT.CYW/0067/13,35
MNMA/BT.CYW/0057/13,30
MNMA/BT.CYW/0026/13,37
MNMA/BT.CYW/0027/13,
MNMA/BT.CYW/0002/13,32
MNMA/BT.CYW/0039/13,33
MNMA/BT.CYW/0051/13,35
MNMA/BT.CYW/0047/13,35
MNMA/BT.CYW/0044/13,40
MNMA/BT.CYW/0069/13,33
MNMA/BT.CYW/0022/13,34
MNMA/BT.CYW/0055/13,32
MNMA/BT.CYW/0041/13,27
MNMA/BT.CYW/0021/13,36
MNMA/BT.CYW/0019/13,
MNMA/BT.CYW/0052/13,31
MNMA/BT.CYW/0033/13,33
MNMA/BT.CYW/0065/13,33
MNMA/BT.CYW/0063/13,36
MNMA/BT.CYW/0029/13,36
MNMA/BT.CYW/0058/13,30
MNMA/BT.CYW/0070/13,38
MNMA/BT.CYW/0008/12,
MNMA/BT.CYW/0037/13,32
MNMA/BT.CYW/0037/13,
MNMA/BT.CYW/0024/13,27
MNMA/BT.CYW/0030/13,24
MNMA/BT.CYW/0056/13,39
MNMA/BT.CYW/0061/13,29
MNMA/BT.CYW/0062/13,34
MNMA/BT.CYW/0042/13,27
MNMA/BT.CYW/0020/13,21
MNMA/BT.CYW/0049/13,40
MNMA/BT.CYW/0071/13,35
MNMA/BT.CYW/0059/13,
MNMA/BT.CYW/0025/13,
MNMA/BT.CYW/0032/13,29
MNMA/BT.CYW/0023/13,32
MNMA/BT.CYW/0001/13,40
MNMA/BT.CYW/0025/13,
MNMA/BT.CYW/0028/13,31
MNMA/BT.CYW/0054/13,38
MNMA/BT.CYW/0053/13,37
MNMA/BT.CYW/0064/13,34
MNMA/BT.CYW/0035/13,37
MNMA/BT.CYW/0038/13,30
MNMA/BT.CYW/0066/13,31
MNMA/BT.CYW/0050/13,29
MNMA/BT.CYW/0046/13,38
MNMA/BT.CYW/0018/13,34
MNMA/BT.CYW/0048/13,31
MNMA/BT.CYW/0034/13,33
MNMA/BT.CYW/0040/13,37
MNMA/BT.CYW/0031/13,30
MNMA/BT.CYW/0045/13,
MNMA/BT.CYW/0073/13,32
MNMA/BT.CYW/0068/13,43
MNMA/BT.CYW/0060/13,31
MNMA/BT.CYW/0072/13,31
MNMA/BT.CYW/0078/13,30
MNMA/BT.CYW/0075/13,36
MNMA/BT.CYW/0074/13,29
MNMA/BT.CYW/0077/13,28
MNMA/BT.CYW/4619/13,34
