EXAM NO,SCORE
YW/13/0001,47
YW/13/0005,24
YW/13/0006,29
YW/13/0007,42
YW/13/0008,48
YW/13/0009,48
YW/13/0010,46
YW/13/0011,40
YW/13/0012,48
YW/13/0013,42
YW/13/0014,35
YW/13/0015,45
YW/13/0016,37
YW/13/0017,40
YW/13/0018,49
YW/13/0019,40
YW/13/0020,44
YW/13/0021,49
YW/13/0022,35
YW/13/0023,24
YW/13/0024,37
YW/13/0025,40
YW/13/0026,34
YW/13/0027,
YW/13/0028,39
YW/13/0029,38
YW/13/0030,48
YW/13/0031,43
YW/13/0032,46
YW/13/0033,48
YW/13/0034,34
YW/13/0035,44
YW/13/0036,
YW/13/0037,26
YW/13/0038,47
YW/13/0039,23
YW/13/0040,42
YW/13/0041,49
YW/13/0042,23
YW/13/0043,40
YW/13/0044,49
YW/13/0045,21
YW/13/0046,28
YW/13/0047,38
YW/13/0048,34
YW/13/0049,27
YW/13/0050,40
YW/13/0051,46
YW/13/0052,46
YW/13/0053,44
YW/13/0054,40
YW/13/0056,38
YW/13/0057,43
YW/13/0058,34
YW/13/0059,49
YW/13/0060,34
YW/13/0061,33
YW/13/0062,47
YW/13/0066,29
