EXAM NUMBER,SCORE 
/13/0001,
/13/0002,
/13/0003,
/13/0004,
/13/0005,29
/13/0006,25.5
/13/0007,
/13/0008,36.5
/13/0009,36.5
/13/0010,31
/13/0011,32.5
/13/0012,37
/13/0013,31
/13/0014,47.5
/13/0015,26.5
/13/0016,17.5
/13/0017,31.5
/13/0018,31.5
/13/0019,32.5
/13/0020,39
/13/0021,38
/13/0022,23
/13/0023,33
/13/0024,
/13/0025,34
/13/0026,43
/13/0027,24
/13/0028,30
/13/0029,43
/13/0030,35
/13/0031,33
/13/0032,37
/13/0033,45.5
/13/0034,41
/13/0035,30.5
/13/0036,36
/13/0037,40
/13/0038,
/13/0039,35.5
/13/0040,25
/13/0041,21
/13/0042,40
/13/0043,40
/13/0044,37.5
/13/0045,26
/13/0046,18.5
/13/0047,32
/13/0048,32
/13/0049,28
/13/0050,37.5
/13/0051,18.5
/13/0052,41
/13/0053,30.5
/13/0054,
/13/0055,38.5
/13/0056,
/13/0056,
/13/0057,30.5
/13/0058,29.5
/13/0059,33.5
/13/0060,37.5
/13/0061,32.5
/13/0062,
/13/0063,26
/13/0064,
/13/0065,36.5
/13/0066,35
/13/0067,
/13/0068,40.5
/13/0069,
/13/0070,
/13/0071,
/13/0072,
/13/0073,
/13/0074,
/13/0075,
/13/0076,
/13/0077,
/13/0078,
/13/0079,
/13/0080,
/13/0081,
/13/0082,
/13/0083,
/13/0084,
/13/0085,
/13/0086,
/13/0087,
/13/0088,
/13/0089,
/13/0090,
/13/0091,
/13/0092,
/13/0093,
/13/0094,
/13/0095,
