EXAM NO,SCORE,,,,,
YW/13/0001,42,,,,,
YW/13/0005,40,,,,,
YW/13/0006,37,,,,,
YW/13/0007,43,,,,,
YW/13/0008,41,,,,,
YW/13/0009,38,,,,, 
YW/13/0010,46,,,,,
YW/13/0011,46,,,,,
YW/13/0012,44,,,,,
YW/13/0013,40,,,,,
YW/13/0014,41,,,,,
YW/13/0015,44,,,,,
YW/13/0016,40,,,,,
YW/13/0017,41,,,,,
YW/13/0018,44,,,,,
YW/13/0019,23,,,,,
YW/13/0020,42,,,,,
YW/13/0021,45,,,,,
YW/13/0022,44,,,,,
YW/13/0023,32,,,,,
YW/13/0024,27,,,,,
YW/13/0025,26,,,,,
YW/13/0026,30,,,,,
YW/13/0027,,,,,,
YW/13/0028,43,,,,,
YW/13/0029,37,,,,,
YW/13/0030,40,,,,,
YW/13/0031,31,,,,,
YW/13/0032,29,,,,,
YW/13/0033,39,,,,,
YW/13/0034,35,,,,,
YW/13/0035,40,,,,,
YW/13/0036,,,,,,
YW/13/0037,39,,,,,
YW/13/0038,38,,,,,
YW/13/0039,40,,,,,
YW/13/0040,24,,,,,
YW/13/0041,37,,,,,
YW/13/0042,36,,,,,
YW/13/0043,44,,,,,
YW/13/0044,43,,,,,
YW/13/0045,37,,,,,
YW/13/0046,40,,,,,
YW/13/0047,39,,,,,
YW/13/0048,23,,,,,
YW/13/0049,31,,,,,
YW/13/0050,45,,,,,
YW/13/0051,37,,,,,
YW/13/0052,41,,,,,
YW/13/0053,35,,,,,
YW/13/0054,43,,,,,
YW/13/0056,40,,,,,
YW/13/0057,41,,,,,
YW/13/0058,45,,,,,
YW/13/0059,41,,,,,
YW/13/0060,37,,,,,
YW/13/0061,37,,,,,
YW/13/0062,38,,,,,
YW/13/0066,34,,,,,
