EXAM NUMBER,SCORE 
SS/13/0071,40
SS/13/0076,42
SS/13/0088,40
SS/13/0066,40
SS/13/0042,42
SS/13/0032,38
SS/13/0034,45
SS/13/0060,42
SS/13/0027,27
SS/13/0039,41
SS/13/0082,43
SS/13/0043,45
SS/13/0055,37
SS/13/0046,37
SS/13/0098,42
SS/13/0045,19
SS/13/0101,38
SS/13/0069,38
SS/13/0001,33
SS/13/0024,42
SS/13/0087,28
SS/13/0020,34
SS/13/0075,34
SS/13/0041,36
SS/13/0090,32
SS/13/0093,39
SS/13/0095,35
SS/13/0057,34
SS/13/0065,33
SS/13/0080,40
SS/13/0052,30
SS/13/0040,33
SS/13/0047,33
SS/13/0107,36
SS/13/0061,32
SS/13/0014,33
SS/13/0078,40
SS/13/0054,32
SS/13/0021,35
SS/13/0053,39
SS/13/0012,31
SS/13/0029,38
SS/13/0096,29
SS/13/0044,41
SS/13/0074,42
SS/13/0005,39
SS/13/0006,21
ss/13/0063,40
SS/13/0013,30
SS/13/0079,44
SS/13/0059,42
SS/13/0030,31
SS/13/0072,35
SS/13/0025,29
SS/13/0037,31
SS/13/0026,33
SS/13/0070,40
SS/13/0091,42
SS/13/0089,38
SS/13/0016,39
SS/13/0077,37
SS/13/0085,32
SS/13/0081,33
SS/13/0049,37
SS/13/0028,33
SS/13/0010,31
SS/13/0058,34
SS/13/0083,42
SS/13/0023,38
SS/13/0056,37
SS/13/0007,32
SS/13/0100,36
SS/13/0097,38
SS/13/0036,32
SS/13/0050,33
SS/13/0009,40
SS/13/0064,35
SS/13/0048,43
SS/13/0099,38
SS/13/0103,40
SS/13/0038,36
SS/13/0092,42
SS/13/0002,40
SS/13/0086,36
SS/13/0104,34
SS/13/0017,39
SS/13/0035,37
SS/13/0062,44
SS/13/0094,33
SS/13/0015,37
SS/13/0067,41
SS/13/0073,39
SS/13/0003,30
SS/13/0102,42
SS/13/0018,36
SS/13/0068,37
