EDU 07240,
EXAMNO,SCORE
/13/0096,39
/13/0097,34.5
/13/0099,41
/13/0101,39
/13/0103,30
/13/0104,35
/13/0105,35.5
/13/0106,35
/13/0107,31
/13/0109,30
/13/0110,31
/13/0111,40
/13/0112,35
/13/0114,36.5
/13/0115,39.5
/13/0116,34.5
/13/0117,29
/13/0118,26
/13/0119,38.5
/13/0120,36
/13/0122,29.5
/13/0123,28
/13/0124,34
/13/0125,29
/13/0126,36
/13/0127,38
/13/0128,29
/13/0129,30
/13/0130,29
/13/0131,32
/13/0132,31.5
/13/0133,41.5
/13/0134,26
/13/0135,26
/13/0136,27.5
/13/0138,37
/13/0139,24.5
/13/0140,29
/13/0141,39.5
/13/0142,35
/13/0143,38
/13/0144,36
/13/0145,34
/13/0146,27
/13/0147,34.5
/13/0148,34
/13/0149,33
/13/0150,27
/13/0151,35
/13/0153,27
/13/0154,32
/13/0155,34
/13/0156,35
/13/0158,38
/13/0159,36
/13/0160,37
/13/0161,28
/13/0162,29
/13/0164,31
/13/0166,32.5
/13/0167,38.5
/13/0168,38
/13/0169,32
/13/0170,41
/13/0171,33
/13/0172,34
/13/0173,32
/13/0175,33
/13/0176,40
/13/0177,41
/13/0178,29
/13/0179,33
/13/0180,27
/13/0181,32
/13/0183,32
/13/0184,32
/13/0185,40.5
/13/0186,33
/13/0187,27
/13/0188,37
/13/0189,36
/13/0190,39
/13/0191,36
/13/0192,34
/13/0193,32
/13/0194,47
/13/0195,28
/13/0196,35
/13/0197,43
/13/0198,31
/13/0199,30.5
/13/0200,29
/13/0201,30
/13/0202,31
/13/0203,30
/13/0204,27
/13/0205,35
/13/0206,34.5
/13/0207,31
/13/0208,37.5
/13/0209,29
/13/0210,33
/13/0211,28
/13/0212,43
/13/0213,41
/13/0214,32
/13/0216,31
/13/0217,41.5
/13/0218,35
/13/0220,21
/13/0221,32
/13/0222,37
/13/0223,
/13/0224,39
/13/0225,37
/13/0226,36.5
/13/0227,32
/13/0228,34
/13/0229,28.5
/13/0230,35
/13/0231,31
/13/0232,26
/13/0233,37
/13/0234,36
/13/0235,27
/13/0236,37
/13/0237,39.5
/13/0239,34
/13/0240,33
/13/0182,31
