Reg.No,Score
MNMA/BD.EKE/0454/16,29.5
MNMA/BD.EKE/0465/16,29
MNMA/BD.EKE/0526/16,26
MNMA/BD.EKE/0529/16,23
MNMA/BD.EKE/0593/16,23
MNMA/BD.EKE/0539/16,28
MNMA/BD.EKE/0577/16,27
MNMA/BD.EKE/0558/16,28
MNMA/BD.EKE/0444/16,23
MNMA/BD.EKE/0404/16,32
MNMA/BD.EKE/0396/16,26
MNMA/BD.EKE/0423/16,29.5
MNMA/BD.EKE/0515/16,23
MNMA/BD.EKE/0524/16,25
MNMA/BD.EKE/0565/16,26
MNMA/BD.EKE/0450/16,25
MNMA/BD.EKE/0484/16,23
MNMA/BD.EKE/0456/16,25
MNMA/BD.EKE/0493/16,26
MNMA/BD.EKE/0425/16,28.5
MNMA/BD.EKE/0518/16,24.5
MNMA/BD.EKE/0430/16,25
MNMA/BD.EKE/0393/16,28
MNMA/BD.EKE/0520/16,27.5
MNMA/BD.EKE/0387/16,26
MNMA/BD.EKE/0605/16,26
MNMA/BD.EKE/0472/16,28.5
MNMA/BD.EKE/0439/16,25
MNMA/BD.EKE/0592/16,24
MNMA/BD.EKE/0475/16,26.5
MNMA/BD.EKE/0440/16,28.5
MNMA/BD.EKE/0531/16,23
MNMA/BD.EKE/0562/16,23
MNMA/BD.EKE/0542/16,27.5
MNMA/BD.EKE/0546/16,29
MNMA/BD.EKE/0478/16,28
MNMA/BD.EKE/0474/16,23
MNMA/BD.EKE/0547/16,25
MNMA/BD.EKE/0494/16,28.5
MNMA/BD.EKE/0601/16,27.5
MNMA/BD.EKE/0408/16,23
MNMA/BD.EKE/0480/16,29.5
MNMA/BD.EKE/0414/16,27.5
MNMA/BD.EKE/0517/16,22.5
MNMA/BD.EKE/0599/16,23
MNMA/BD.EKE/0597/16,26
MNMA/BD.EKE/0582/16,26
MNMA/BD.EKE/0537/16,25.5
MNMA/BD.EKE/0532/16,22.5
MNMA/BD.EKE/0585/16,26.5
MNMA/BD.EKE/0497/16,23
MNMA/BD.EKE/0386/16,23
MNMA/BD.EKE/0462/16,24
MNMA/BD.EKE/0535/16,23
MNMA/BD.EKE/0545/16,26.5
MNMA/BD.EKE/0498/16,23
MNMA/BD.EKE/0489/16,23
MNMA/BD.EKE/0434/16,30
MNMA/BD.EKE/0405/16,24
MNMA/BD.EKE/0505/16,28
MNMA/BD.EKE/0442/16,23.5
MNMA/BD.EKE/0595/16,26
MNMA/BD.EKE/0482/16,29.5
MNMA/BD.EKE/0419/16,29
MNMA/BD.EKE/0416/16,27
MNMA/BD.EKE/0449/16,23
MNMA/BD.EKE/0587/16,25.5
MNMA/BD.EKE/0559/16,29
MNMA/BD.EKE/0578/16,25
MNMA/BD.EKE/0525/16,23
MNMA/BD.EKE/0580/16,28.5
MNMA/BD.EKE/0507/16,25.5
MNMA/BD.EKE/0446/16,23
MNMA/BD.EKE/0550/16,24
MNMA/BD.EKE/0457/16,26
MNMA/BD.EKE/0508/16,26
MNMA/BD.EKE/0412/16,27
MNMA/BD.EKE/0492/16,25.5
MNMA/BD.EKE/0424/16,25
MNMA/BD.EKE/0552/16,23
MNMA/BD.EKE/0551/16,28
MNMA/BD.EKE/0528/16,24.5
MNMA/BD.EKE/0603/16,25
MNMA/BD.EKE/0583/16,30
MNMA/BD.EKE/0499/16,26
MNMA/BD.EKE/0391/16,26
MNMA/BD.EKE/0402/16,29
MNMA/BD.EKE/0514/16,29
MNMA/BD.EKE/0560/16,26
MNMA/BD.EKE/0549/16,23.5
MNMA/BD.EKE/0451/16,23
MNMA/BD.EKE/0443/16,29
MNMA/BD.EKE/0392/16,26
MNMA/BD.EKE/0411/16,25
MNMA/BD.EKE/0487/16,22.5
MNMA/BD.EKE/0432/16,30.5
MNMA/BD.EKE/0486/16,26
MNMA/BD.EKE/0436/16,27
MNMA/BD.EKE/0522/16,22.5
MNMA/BD.EKE/0388/16,28
MNMA/BD.EKE/0437/16,30.5
MNMA/BD.EKE/0586/16,22.5
MNMA/BD.EKE/0470/16,32
MNMA/BD.EKE/0511/16,29.5
MNMA/BD.EKE/0534/16,29
MNMA/BD.EKE/0541/16,28.5
MNMA/BD.EKE/0417/16,23
MNMA/BD.EKE/0445/16,23
MNMA/BD.EKE/0588/16,28.5
MNMA/BD.EKE/0548/16,30
MNMA/BD.EKE/0460/16,30.5
MNMA/BD.EKE/0556/16,26
MNMA/BD.EKE/0455/16,27
MNMA/BD.EKE/0570/16,25
MNMA/BD.EKE/0429/16,29
MNMA/BD.EKE/0426/16,27.5
MNMA/BD.EKE/0513/16,29.5
MNMA/BD.EKE/0530/16,23
MNMA/BD.EKE/0523/16,25.5
MNMA/BD.EKE/0468/16,23.5
MNMA/BD.EKE/0441/16,23
MNMA/BD.EKE/0557/16,28
MNMA/BD.EKE/0435/16,23
MNMA/BD.EKE/0397/16,27
MNMA/BD.EKE/0581/16,28
MNMA/BD.EKE/0536/16,32.5
MNMA/BD.EKE/0516/16,27
MNMA/BD.EKE/0403/16,31
MNMA/BD.EKE/0461/16,30
MNMA/BD.EKE/0399/16,27.5
MNMA/BD.EKE/0569/16,25
MNMA/BD.EKE/0571/16,29.5
MNMA/BD.EKE/0428/16,28
MNMA/BD.EKE/0427/16,22.5
MNMA/BD.EKE/0563/16,26
MNMA/BD.EKE/0604/16,23
MNMA/BD.EKE/0431/16,25
MNMA/BD.EKE/0538/16,28
MNMA/BD.EKE/0467/16,26
MNMA/BD.EKE/0353/15,23
MNMA/BD.EKE/0500/16,24.5
MNMA/BD.EKE/0596/16,25.5
MNMA/BD.EKE/0477/16,24
MNMA/BD.EKE/0400/16,24
MNMA/BD.EKE/0554/16,24
MNMA/BD.EKE/0594/16,26.5
MNMA/BD.EKE/0490/16,24.5
MNMA/BD.EKE/0422/16,27.5
MNMA/BD.EKE/0398/16,23
MNMA/BD.EKE/0447/16,25.5
MNMA/BD.EKE/0401/16,29.5
MNMA/BD.EKE/05601/16,23
MNMA/BD.EKE/0529/16,23
MNMA/BD.EKE/0540/16,30
MNMA/BD.EKE/0521/16,23
MNMA/BD.EKE/0448/16,29
MNMA/BD.EKE/0544/16,25.5
MNMA/BD.EKE/0479/16,26.5
MNMA/BD.EKE/0394/16,14.5
MNMA/BD.EKE/0506/16,27.5
MNMA/BD.EKE/0553/16,29
MNMA/BD.EGE/0092/16,29.5
MNMA/BD.EGE/0097/16,26
MNMA/BD.EGE/0127/16,29.5
MNMA/BD.EGE/0102/16,23
MNMA/BD.EGE/0104/16,31
MNMA/BD.EGE/0105/16,30
MNMA/BD.EGE/0072/16,23.5
MNMA/BD.EGE/0156/16,23
MNMA/BD.EGE/0169/16,27.5
MNMA/BD.EGE/0119/16,25.5
MNMA/BD.EGE/0118/16,26
MNMA/BD.EGE/0128/16,29
MNMA/BD.EGE/0174/16,25
MNMA/BD.EGE/0171/16,29
MNMA/BD.EGE/0142/16,26.5
MNMA/BD.EGE/0130/16,26
MNMA/BD.EGE/0101/16,27.5
MNMA/BD.EGE/0077/16,25.5
MNMA/BD.EGE/0068/16,25
MNMA/BD.EGE/0088/16,28
MNMA/BD.EGE/0161/16,26
MNMA/BD.EGE/0140/16,28.5
MNMA/BD.EGE/0152/16,30
MNMA/BD.EGE/0115/16,27
MNMA/BD.EGE/0133/16,26
MNMA/BD.EGE/0146/16,23
MNMA/BD.EGE/0262/16,30
MNMA/BD.EGE/0125/16,23
MNMA/BD.EGE/0159/16,27
MNMA/BD.EGE/0145/16,23
MNMA/BD.EGE/0123/16,23
MNMA/BD.EGE/0120/16,30
MNMA/BD.EGE/0146/16,29.5
MNMA/BD.EGE/0107/16,27.5
MNMA/BD.EGE/0139/16,25.5
MNMA/BD.EGE/0076/16,32
MNMA/BD.EGE/0075/16,24
MNMA/BD.EGE/1149/16,28
MNMA/BD.EGE/0154/16,28.5
MNMA/BD.EGE/0170/16,31.5
MNMA/BD.EGE/0168/16,28
MNMA/BD.EGE/0081/16,24
MNMA/BD.EGE/0078/16,30.5
MNMA/BD.EGE/0136/16,31
MNMA/BD.EGE/0084/16,26.5
MNMA/BD.EGE/0074/16,29
MNMA/BD.EGE/0080/16,24
MNMA/BD.EGE/0122/16,22.5
MNMA/BD.EGE/0090/16,31
MNMA/BD.EGE/0157/16,23.5
MNMA/BD.EGE/0187/16,23
MNMA/BD.EGE/0113/16,23.5
MNMA/BD.EGE/0138/16,26.5
MNMA/BD.EGE/0160/16,23
MNMA/BD.EGE/0189/16,25.5
MNMA/BD.EGE/0132/16,25
MNMA/BD.EGE/0163/16,30
MNMA/BD.EGE/0135/16,23
MNMA/BD.EGE/0057/15,24
MNMA/BD.EGE/0166/16,25.5
MNMA/BD.EGE/0153/16,23
MNMA/BG.EGE/0188/16,26.5
MNMA/BD.EGE/0137/16,28
MNMA/BD.EGE/0121/16,23.5
MNMA/BD.EGE/0117/16,26.5
MNMA/BD.EGE/0150/16,26
MNMA/BD.EGE/0095/16,27.5
MNMA/BD.EGE/0176/16,23
MNMA/BD.EGE/0155/16,23
MNMA/BD.EGE/0129/16,28
MNMA/BD.EGE/0181/16,24.5
MNMA/BD.EGE/0191/16,23
MNMA/BD.EGE/0073/16,24.5
MNMA/BD.EGE/0167/16,24.5
MNMA/BD.EGE/0131/16,23
MNMA/BD.EGE/0106/16,30
MNMA/BD.EGE/0126/16,25.5
MNMA/BD.EGE/0143/16,27.5
MNMA/BD.EGE/0109/16,23
MNMA/BD.EGE/0069/16,24
MNMA/BD.EGE/0056/15,23
MNMA/BD.EGE/0071/16,26
MNMA/BD.EGE/0164/16,26.5
MNMA/BD.EGE/0148/16,25.5
MNMA/BD.EGE/0263/16,24
MNMA/BD.EGE/0091/16,26
MNMA/BD.EGE/0151/16,22.5
MNMA/BD.EGE/0134/16,28
MNMA/BD.EGE/0082/16,29
MNMA/BD.EGE/0087/16,24
MNMA/BD.EGE/0079/16,26
MNMA/BD.EGE/0094/16,23
MNMA/BD.EGE/0186/16,31
MNMA/BD.EGE/0086/16,28
MNMA/BD.EGE/0158/16,23.5
MNMA/BD.EGE/0141/16,29.5
MNMA/BD.EGE/0162/16,23
MNMA/BD.EGE/0111/16,28
MNMA/BD.EGE/0103/16,28.5
MNMA/BD.EGE/0108/16,28
MNMA/BD.EGE/0124/16,29
MNMA/BD.EGE/0185/16,22.5
MNMA/BD.EHE/0099/16,24
MNMA/BD.EHE/0093/16,29
MNMA/BD.EHE/0229/16,29
MNMA/BD.EHE/0248/16,27
MNMA/BD.EHE/0140/16,28
MNMA/BD.EHE/0205/16,30
MNMA/BD.EHE/0217/16,30
MNMA/BD.EHE/0184/16,27.5
MNMA/BD.EHE/0173/16,22.5
MNMA/BD.EHE/0153/16,30
MNMA/BD.EHE/0132/16,27
MNMA/BD.EHE/0231/16,29.5
MNMA/BD.EHE/0171/16,29
MNMA/BD.EHE/0193/16,29
MNMA/BD.EHE/0164/16,28.5
MNMA/BD.EHE/0100/16,27
MNMA/BD.EHE/0004/15,23
MNMA/BD.EHE/0167/16,23
MNMA/BD.EHE/0218/16,23.5
MNMA/BD.EHE/0135/16,23
MNMA/BD.EHE/0247/16,26
MNMA/BD.EHE/0154/16,25.5
MNMA/BD.EHE/0115/16,24
MNMA/BD.EHE/0121/16,30
MNMA/BD.EHE/0108/16,31
MNMA/BD.EHE/0236/16,25.5
MNMA/BD.EHE/0190/16,25
MNMA/BD.EHE/0177/16,25
MNMA/BD.EHE/0112/16,22.5
MNMA/BD.EHE/0092/16,31.5
MNMA/BD/EHE/0235/16,26
MNMA/BD.EHE/0211/16,27.5
MNMA/BD.EHE/0216/16,27.5
MNMA/BD.EHE/0107/16,23
MNMA/BD.EHE/0181/16,24
MNMA/BD.EHE/0101/16,23
MNMA/BD.EHE/0090/16,23
MNMA/BD.EHE/0146/16,28.5
MNMA/BD.EHE/0212/16,24
MNMA/BD.EHE/0147/16,23
MNMA/BD.EHE/0200/16,23
MNMA/BD.EHE/0249/16,23
MNMA/BD.EHE/0244/16,23
MNMA/BD.EHE/0161/16,23
MNMA/BD.EHE/0095/16,26
MNMA/BD.EHE/0018/16,24.5
MNMA/BD.EHE/0226/16,27.5
MNMA/BD.EHE/0203/16,23
MNMA/BD.EHE/0141/16,23
MNMA/BD.EHE/0239/16,23
MNMA/BD.EHE/0124/16,28.5
MNMA/BD.EHE/0175/16,26
MNMA/BD.EHE/0103/16,24
MNMA/BD.EHE/0252/16,31
MNMA/BD.EHE/0250/16,30.5
MNMA/BD.EHE/0160/16,26
MNMA/BD.EHE/0170/16,23.5
MNMA/BD.EHE/0102/16,22.5
MNMA/BD.EHE/0116/16,22.5
MNMA/BD.EHE/0232/16,23
MNMA/BD.EHE/0222/16,23.5
MNMA/BD.EHE/0206/16,25
MNMA/BD.EHE/0189/16,24
MNMA/BD.EHE/0117/16,27
MNMA/BD.EHE/0098/16,25
